Time_Step #_Steps
1.000000000000000000E-07 9.000000000000000000E+07
1.000000000000000000E-06 9.000000000000000000E+06
1.000000000000000000E-05 9.000000000000000000E+05
1.000000000000000000E-04 9.000000000000000000E+04
1.000000000000000000E-03 9.000000000000000000E+03
1.000000000000000000E-02 9.000000000000000000E+02
1.000000000000000000E-01 9.000000000000000000E+01
1.000000000000000000E+00 9.000000000000000000E+00
